FileName,ExposureTime,FNumber,ISOSpeedRatings,BrightnessValue,WhiteBalance,FocalLength,FocalLengthIn35mmFilm,Date,Time
DSC02519.ARW,1/125,1.4,100,=1491/640,Auto,30,45,1/29,13:38:13
DSC02521.ARW,1/125,1.4,200,=1127/1280,Auto,30,45,1/29,14:24:09
DSC02522.ARW,1/125,1.4,800,=1087/1280,Auto,30,45,1/29,17:06:06
DSC02523.ARW,1/125,1.4,800,=13/20,Auto,30,45,1/29,17:06:23
DSC02524.ARW,1/125,2.0,1600,=1357/1280,Auto,30,45,1/29,17:06:53
DSC02525.ARW,1/125,2.0,1250,=1357/1280,Auto,30,45,1/29,17:06:57
DSC02526.ARW,1/125,2.0,1250,=23/20,Auto,30,45,1/29,17:06:59
DSC02527.ARW,1/125,2.0,1000,=1527/1280,Auto,30,45,1/29,17:07:57
DSC02528.ARW,1/125,2.0,800,=1817/1280,Auto,30,45,1/29,17:08:33
DSC02529.ARW,1/125,2.0,800,=1031/640,Auto,30,45,1/29,17:08:40
DSC02530.ARW,1/125,2.0,800,=601/640,Auto,30,45,1/29,17:10:02
DSC02531.ARW,1/125,2.0,800,=1247/1280,Auto,30,45,1/29,17:10:04
DSC02532.ARW,1/125,2.0,800,=1287/1280,Auto,30,45,1/29,17:10:06
DSC02533.ARW,1/125,2.0,800,=41/40,Auto,30,45,1/29,17:10:07
DSC02534.ARW,1/125,2.0,800,=481/640,Auto,30,45,1/29,17:10:29
DSC02535.ARW,1/125,2.0,800,=927/1280,Auto,30,45,1/29,17:10:31
DSC02536.ARW,1/125,2.0,800,=897/1280,Auto,30,45,1/29,17:10:33
DSC02537.ARW,1/125,2.0,800,=69/160,Auto,30,45,1/29,17:29:33
DSC02538.ARW,1/125,2.0,800,=113/320,Auto,30,45,1/29,17:29:34
DSC02539.ARW,1/125,2.0,800,=427/1280,Auto,30,45,1/29,17:29:35
DSC02540.ARW,1/125,2.0,800,=231/640,Auto,30,45,1/29,17:29:36
DSC02541.ARW,1/125,2.0,800,=39/160,Auto,30,45,1/29,17:29:36
DSC02542.ARW,1/125,2.0,800,=277/1280,Auto,30,45,1/29,17:29:37
DSC02543.ARW,1/125,2.0,800,=237/1280,Auto,30,45,1/29,17:29:43
DSC02544.ARW,1/125,2.0,800,=327/1280,Auto,30,45,1/29,17:29:44
DSC02545.ARW,1/125,2.0,800,=427/1280,Auto,30,45,1/29,17:29:44
DSC02546.ARW,1/125,2.0,800,=127/1280,Auto,30,45,1/29,17:29:44
DSC02549.ARW,1/125,1.4,1600,=-2207/320,Auto,30,45,1/29,17:35:37
DSC02550.ARW,1/125,2.0,1600,=-749/640,Auto,30,45,1/29,17:38:59
DSC02551.ARW,1/125,2.0,1600,=-407/320,Auto,30,45,1/29,17:38:59
DSC02552.ARW,1/125,2.0,1600,=-1783/1280,Auto,30,45,1/29,17:39:00
DSC02553.ARW,1/125,2.0,1600,=-789/640,Auto,30,45,1/29,17:39:00
DSC02554.ARW,1/125,2.0,1600,=-1593/1280,Auto,30,45,1/29,17:39:00
DSC02555.ARW,1/125,2.0,1600,=-1543/1280,Auto,30,45,1/29,17:39:01
DSC02556.ARW,1/125,2.0,1600,=-729/640,Auto,30,45,1/29,17:39:01
DSC02557.ARW,1/125,2.0,1600,=-427/320,Auto,30,45,1/29,17:39:17
DSC02558.ARW,1/125,2.0,1600,=-779/640,Auto,30,45,1/29,17:39:17
DSC02559.ARW,1/125,2.0,1600,=-83/80,Auto,30,45,1/29,17:39:17
DSC02560.ARW,1/125,2.0,1600,=-1323/1280,Auto,30,45,1/29,17:39:18
DSC02561.ARW,1/125,2.0,1600,=-799/640,Auto,30,45,1/29,17:40:05
DSC02561.jpg,1/125,2.0,1600,=-799/640,Auto,30,45,1/29,17:40:05
DSC02562.ARW,1/125,2.0,1600,=-1403/1280,Auto,30,45,1/29,17:40:05
DSC02562.jpg,1/125,2.0,1600,=-1403/1280,Auto,30,45,1/29,17:40:05
DSC02563.ARW,1/125,2.0,1600,=-699/640,Auto,30,45,1/29,17:40:05
DSC02563.jpg,1/125,2.0,1600,=-699/640,Auto,30,45,1/29,17:40:05
DSC02564.ARW,1/125,2.0,1600,=-689/640,Auto,30,45,1/29,17:40:06
DSC02564.jpg,1/125,2.0,1600,=-689/640,Auto,30,45,1/29,17:40:06
DSC02565.ARW,1/125,2.0,1600,=-1563/1280,Auto,30,45,1/29,17:40:06
